実に	4720
自由	4713
もっと	4706
通る	4705
研究	4695
つつ	4689
ゝ	4686
学校	4668
石	4665
暗い	4652
位	4639
まず	4623
海	4621
歳	4602
半	4601
〇	4597
体	4593
同時に	4567
左	4557
月	4554
妙	4554
なんか	4550
存在	4545
於	4510
作る	4494
はず	4457
だす	4456
郎	4448
好い	4447
引く	4440
地	4433
ちゃ	4433
すっかり	4422
門	4420
よる	4420
心配	4405
階	4401
あるいは	4398
始める	4393
有る	4391
なお	4378
余	4365
晩	4362
つもり	4359
老人	4353
叫ぶ	4347
／	4340
つ	4329
上げる	4312
つまり	4307
はいる	4301
さあ	4300
動く	4293
米	4290
しばらく	4289
奥	4274
文化	4254
論	4237
い	4231
少年	4230
いよいよ	4225
横	4224
走る	4218
雨	4218
身体	4195
実際	4177
それでも	4170
当時	4161
起る	4151
小さな	4150
すぎる	4144
枚	4137
使う	4131
これから	4121
着る	4114
新聞	4110
食う	4108
飛ぶ	4108
最後	4106
静か	4096
涙	4076
遠い	4074
庭	4071
場	4065
程	4059
訳	4056
しれる	4052
腰	4039
影	4038
如し	4037
［	4034
会	4031
肩	4022
青年	4011
なんて	4008
ぐらい	3991
なかなか	3991
戦争	3970
兄	3962
学	3957
送る	3940
進む	3936
乗る	3931
貰う	3928
長	3927
一番	3923
哲学	3922
実は	3918
多く	3907
思い	3902
此	3901
はじめる	3899
——」	3898
あたし	3897
かい	3890
じっと	3862
鼻	3854
離れる	3852
ひと	3845
黒い	3839
きっと	3827
歌	3822
犬	3821
ひどい	3817
坐る	3816
なぜ	3813
結果	3808
底	3806
致す	3799
こっち	3799
作家	3797
ほとんど	3787
わたくし	3782
思い出す	3769
いたす	3764
考え	3754
彼等	3749
腹	3734
＃	3723
血	3722
腕	3716
はっきり	3690
ひとり	3677
幾	3677
方法	3663
ええ	3660
ど	3657
似る	3647
死	3644
語る	3643
変る	3643
赤い	3618
法	3610
両	3608
＼	3579
角	3571
廻る	3570
一方	3564
働く	3561
頼む	3559
ちょうど	3555
江戸	3547
結婚	3542
筈	3527
なあ	3523
参る	3523
春	3522
現実	3521
去る	3520
再び	3505
壁	3496
好き	3492
吾	3491
現われる	3489
傍	3487
覚える	3467
其の	3466
逃げる	3460
すなわち	3455
至る	3449
一種	3446
説明	3444
作品	3443
いずれ	3436
示す	3420
変	3416
客	3409
世間	3406
合う	3403
描く	3398
こうして	3398
聞える	3392
会う	3391
思想	3389
感じ	3389
態度	3385
こちら	3384
それに	3382
すぐに	3374
違い	3371
連れる	3367
失う	3365
とても	3345
住む	3345
注意	3337
にて	3336
絵	3331
相違	3324
友	3321
われわれ	3321
吹く	3320
最初	3319
消える	3315
調子	3301
さて	3299
どの	3296
とにかく	3287
島	3275
敵	3267
一般	3265
心持	3244
認める	3235
信じる	3231
くださる	3226
大変	3221
病気	3219
はい	3212
それら	3199
逢う	3199
想像	3196
労働	3195
流れる	3190
食べる	3187
少い	3183
広い	3176
判る	3175
どうしても	3171
させる	3169
種	3164
為	3161
返事	3152
女房	3151
やっぱり	3145
発見	3140
仕方	3134
恐ろしい	3123
感情	3119
こむ	3119
葉	3115
生	3112
立派	3105
毎日	3105
ころ	3094
しめる	3090
ぜ	3088
夏	3079
普通	3063
意識	3061
